,A,B,K,d,r,s,D,j,j_deg,gmm
2076,27005037170896158376750631129305619789799099886609239606831429192957440*theta_K - 3959705160963383208995127891676188391386671582036448224940703688606144512/3,-51716187437405142688320707865574606761622867383404564208601133806588289437991009018723487011161326323041280/3*theta_K + 22749184125020095628843852421200480599319518985018793833802369050931720683005232379104782356115341479226257408/27,x^2 - x - 2340,2,2,0,9361,-32768,1,False
2077,413501992470659352960000000000000*theta_K - 20011104132311506092609024000000000,28192544543026958733710894428595748864000000000000*theta_K - 1364356048768916305424278111654625280000000000000000,x^2 - 2342,2,2,0,9368,8000,1,True
2078,104290226633721716209582080501592046188459978058880000000000000*theta_K - 5047043601120871628379535825682401456295802917292609024000000000,-3570945995565235116540407819565899879349406802450642700294207628097313935795748864000000000000*theta_K + 172813126585326310129372650380790906266071779691560909029379805290254878963875840000000000000000,x^2 - 2342,2,2,0,9368,8000,1,True
2079,-858824774798337996495216*theta_K - 124686451186456958728260164/3,-71505566596566790473799660748385073568/27*theta_K - 128165027036349439713060984332522848016,x^2 - 2342,2,2,0,9368,x^2 - 1653351050*x + 12540529590337,2,True
2080,1294784*theta_K - 187980164/3,150632733568/27*theta_K - 809972535952/3,x^2 - 2342,2,2,0,9368,x^2 - 1653351050*x + 12540529590337,2,True
2081,290304744444683325856807245707854125962530565266434555989561825676798144*theta_K - 14049070081805826003614652839065869150788705683598269991294673695984960688,-520475681083156104683595707608171135854834082304015251331919773056905560535424624401597021813792898841033472*theta_K + 25188011768116989836934940543672081177460326782546228603972182682809998514641888912186493756791506062653035648,x^2 - 2342,2,2,0,9368,x^2 - 1653351050*x + 12540529590337,2,True
2082,-300135293627605743866812233548249487443352661241856*theta_K - 14524811899321128195876285704560505726300997257120688,19689523764730810386254959580218475370713565374693908594969510798207511273472*theta_K + 952859037068469182386793126282324958021521983315917777934997667953926693844352,x^2 - 2342,2,2,0,9368,x^2 - 1653351050*x + 12540529590337,2,True
2083,-265447575736320*theta_K - 12892666057889600,-20173866255915958965248*theta_K - 979835359251557145673728,x^2 - 2359,2,2,0,9436,-3375,1,False
2084,632650014720*theta_K - 30727518790400,-2347287445490499584*theta_K + 114006666260335435776,x^2 - 2359,2,2,0,9436,-3375,1,False
2085,632650014720*theta_K - 30727518790400,2347287445490499584*theta_K - 114006666260335435776,x^2 - 2359,2,2,0,9436,-3375,1,False
2086,-265447575736320*theta_K - 12892666057889600,20173866255915958965248*theta_K + 979835359251557145673728,x^2 - 2359,2,2,0,9436,-3375,1,False
2087,10755050250240*theta_K - 522367819436800,-133795384392958476288*theta_K + 6498379976839119839232,x^2 - 2359,2,2,0,9436,16581375,1,False
2088,10755050250240*theta_K - 522367819436800,133795384392958476288*theta_K - 6498379976839119839232,x^2 - 2359,2,2,0,9436,16581375,1,False
2089,-4512608787517440*theta_K - 219175322984123200,1149910376587209661019136*theta_K + 55850615477338757303402496,x^2 - 2359,2,2,0,9436,16581375,1,False
2090,-4512608787517440*theta_K - 219175322984123200,-1149910376587209661019136*theta_K - 55850615477338757303402496,x^2 - 2359,2,2,0,9436,16581375,1,False
2091,111586160194962375539382935289600*theta_K - 16437640131076991555567125003694432/3,123917670896213574034268843017972283075844723424192/27*theta_K - 6084727342872129491416702258621759147338221146017296/27,x^2 - x - 2362,2,2,0,9449,-32768,1,True
2092,-111586160194962375539382935289600*theta_K - 16102881650492104428948976197825632/3,-123917670896213574034268843017972283075844723424192/27*theta_K - 5960809671975915917382433415603786864262376422593104/27,x^2 - x - 2362,2,2,0,9449,-32768,1,True
2093,2005038563347353638015179350661684794836645968072570898336011449092574797546897619434864640*theta_K - 98618249535147038537585632904590765323514042761056836644339557853609451525245531127988355072,10793677732685188480052113993143424416078156535687573775333603221031443826657870606706705591735432710840308084956131572307791781962973184*theta_K - 530889342231320308678639955597941164839129902652985751782862521000960727717081984120585768411849036275687087300815858773016164342349955072,x^2 - x - 2370,2,2,0,9481,-884736,1,True
2094,-2005038563347353638015179350661684794836645968072570898336011449092574797546897619434864640*theta_K - 96613210971799684899570453553929080528677396792984265746003546404516876727698633508553490432,-10793677732685188480052113993143424416078156535687573775333603221031443826657870606706705591735432710840308084956131572307791781962973184*theta_K - 520095664498635120198587841604797740423051746117298178007528917779929283890424113513879062820113603564846779215859727200708372560386981888,x^2 - x - 2370,2,2,0,9481,-884736,1,True
2095,-151106294350606031360*theta_K - 21857229518413222901248/3,21722183273379124088406342307840/3*theta_K + 9426213795151147477698523325860864/27,x^2 - x - 2373,2,2,0,9493,-32768,1,True
2096,151106294350606031360*theta_K - 22310548401465040995328/3,-21722183273379124088406342307840/3*theta_K + 9621713444611559594494180406631424/27,x^2 - x - 2373,2,2,0,9493,-32768,1,True
2097,-76905551526552413214824758168425262787616571463120728336691310162358184199759830774885646593798195680886483678179033407921828350935623701331145596174388268764572539532809128206713022776305223242274867665076221509086272759116340216513692333322555489987763577985375377011893704017015711305353272490649759405440*theta_K - 11241371568399389346505992071863372178786813801233931927649934293034915574482101028049347772526970612183148822527755151994264187383236514449717282925154882814000146640807018886165138321493967240021271951489277355514117124513752098485491039826974257973133995257959649746930611617956600816726954974553702972366400/3,-2268965320068696507377522696945251639433609159795882362637115013514492906934571969464842795930188730468560933500745116787754944175228139538590383081055453212708282913770502663497331867478642890973266146515712483315570543128998721874407617973941423812947867469970050599057078389451720239769546868207431588693622219935834868679086794672178996763247874807089856819851556815986690436205872037871265560220556461904106686887678793491454147439932507100233103420044055552*theta_K - 2984915075592215071928193143187641178760907954465652029690906121259275519968704693488163316839985806539656624200135061788378441367765490465494319676731432505507171584223399673125399555287263055702547163273989121994731603868056282778774928616625197479814506134510892443011143618251936293768787150974046446248642822235037513577779550895269795703747179093230363153065587143048450264338621668710122125988376853517374316681634544216257529416402815598146852985556621625344/27,x^2 - 2374,2,2,0,9496,8000,1,True
2098,-695276413833756671178302242952409197153839322757021257148622476695013814650369131050956645555881307593674182263976547618982340321018491978137382797666515053405342159438674305368570115700577491016728680176609935363536756301900724443003220158157367900625050572754618221304775777311410600126098604865060011097343486205380446772567177116714899575996526937408835447823274703835200639834968873540178560*theta_K - 101629340866907064064520656912602445744808498132691829559449199984552698994092879023076183342679234912004949899236606935112831239140294172352136088132908066299047863570508105976952583954589161601847644920457493601925974998331863637325300671773269950712773998807624779761344126711424515438806080083137821630937378663130664007249004588616475888452620862603759081625312298242954896012042122172597403200/3,1950417418046793898070130515542036562683104109901123599876172926519668835526625443426573360760015547489226532637099458851406258458833712551723334036582080893193347303460092782290070533645423892951678163876154971502740292333704186975551784998677090802861360842268117836643552850372043289685881867477378665320928175711134660500499629667645912996250154864153453634505432473810670231523851175618873495156753504204555033387921015123089192564565163214745398291342135459071167964595194993926990340783180220969486880637390619744605930133808177739363795389033876213577432327686269919532038911284130092032*theta_K + 2565852507013749177800753542857628830256037796452973483302711748054151217367472112391852056488060560734846030766059269489994749671977116611086449710607145523448087853235409965200367807604295617367088308157568517212534018840938988722932704248960385609559249998292749493709796090398349189806745083843958596611204708297777142398235727656762628365753263191845634343594018112928704602265259982906203295264306349415138703017534072379598390510708019982390326521094824725504534799341755534492693089127312456622063696140186359375861183006927121419741464069309406563026791668132117901244285456324581072828416/27,x^2 - 2374,2,2,0,9496,8000,1,True
2099,4000732416*theta_K - 592299527680/3,-962702020303872*theta_K + 1282733018279192576/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,False
2100,4221077939881902949149112130934169839067636829170944*theta_K - 624921191953198224433941843787439175587597904441974272/3,-1043320359657879524944612380430936476015870763631280447376520143038004433398784*theta_K + 1390151309284316751162415647542112995324272708987244441251040443537661303398074368/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,False
2101,-1946023248179377682732495671440235776*theta_K - 282266339873379386171260119045472352000/3,-278848572853608566790712288996206355320469738377585209344/27*theta_K - 13482121571421962324414036759103078434365152767161761018880/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,True
2102,-2053203001164498923785085383612942445540540171739421003786307024232925604345088*theta_K - 297812524438207587284617478114662209478543381251026365549951472946308407420305152/3,-302199836692856676684281621959548219362863338840156399593175267149281517709818842092427735745475220160476371347540955136/27*theta_K - 14611137849702758416129470939961682131874469374662114079411831423362950016582248406518291783049408115655484922539015005184/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,True
2103,1946023248179377682732495671440235776*theta_K - 288104409617917519219457606059793059328/3,278848572853608566790712288996206355320469738377585209344/27*theta_K - 13760970144275570891204749048099284789685622505539346228224/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,True
2104,-15145252773454632320458176163612852213032494011947200789211021312*theta_K - 2196785198131473083035499190797748606538616175027496202032332525568/3,7090835571317986809257338607029381503239345626443574875671014227956999845920635577438597461431296*theta_K + 9256589224764798347784539572906419132848623054686902645656855747434930482459877005296566765501810688/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,False
2105,-6617856*theta_K - 959905280/3,107165519872/27*theta_K + 5181373361152/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,True
2106,-14354651722201816203264*theta_K - 2082110275698784700354560/3,6542920079110555530659510421668864*theta_K + 8541323923484331767010637452858910720/27,x^2 - x - 2386,2,2,0,9545,x^2 - 39620608*x + 68719476736,2,False
2107,-168794932125513524414430668647754199040*theta_K - 8166291219075600380725516612948422112768,-8353939333638488858828970391503188485796875385130782289920*theta_K - 404163208965624128374563886167205506744365333980927590829056,x^2 - x - 2389,2,2,0,9557,-884736,1,True
2108,-16667069500928*theta_K - 806352072300032,259203631481532559360*theta_K + 12540260024786614805504,x^2 - x - 2389,2,2,0,9557,-884736,1,True
2109,-625967977427646651933020539577758692181760*theta_K - 30303505894072108813715619654686304599286320,2318295663005986210393723900524993355682189012085079227510944768*theta_K + 112230160042370439416301934726773042364690124726440606627526535040,x^2 - x - 2392,2,2,0,9569,-3375,1,True
2110,-366727037772392999272943017648598789576953606557262144942533036431853544348823069684751061243248617597920888656255703897642240*theta_K - 17753487960070354284826137838263362319541316811400813817017178478605042449021729828611925766619000907809376732667908580187327280,-1039573124791187030395323166408007867588966189056206624499994318538491893345551187153092554640215116603070765480212091752573816508229609880481051564286018652454836166745413824086744705344512*theta_K - 50326392803488065162417461332525286467314001321321283252615682464877676437450344501808838492780981219059325554697173297564618602408505579875775203779248216960325712717340145373978629618478208,x^2 - x - 2392,2,2,0,9569,-3375,1,True
2111,-389647477633167561727501956251636213925513206967091029001441351208844390870624511540048002570951656197790944197271685391244880*theta_K - 18863080957574751427627771453154822464512649112113364680580752133517857602085587942900171127032688464547462778459652866449035235,-925869814267150948945834695082132007071423012128184024945307439948344342510881526058223056476441588224609900505813894217136055327641996299803436549442235362342588461007634187077257003197456*theta_K - 44821943590606558035278051499280333259951532426801767896860842195281680577104213071923496782633061398224711822152169968143488442770075282076862290865892943230290087888881066973699717003957154,x^2 - x - 2392,2,2,0,9569,16581375,1,True
2112,-665090976016874567678834323301368610443120*theta_K - 32197475012451615614572845883104198636741715,2064732074864706468631910348905072207404449588888273687001935184*theta_K + 99954986287736172605143910616032240856052142334486165277640820270,x^2 - x - 2392,2,2,0,9569,16581375,1,True
2113,-1611312790638876704565850528/3*theta_K + 79714754772326845700867579312/3,5372776918135360986293913846208159472468272/27*theta_K - 265801647553336809859542548736795695261538976/27,x^2 - x - 2398,2,2,0,9593,x^2 - 1076099*x + 99897344,2,False
2114,25781004650222027273053608448/3*theta_K + 1249655071707007503940827660544/3,-343857722760663103122810486157322206237969408/27*theta_K - 1851938635628099191987545848110844698944502784/3,x^2 - x - 2398,2,2,0,9593,x^2 - 1076099*x + 99897344,2,False
2115,51572880601729792/3*theta_K + 2499837096376946176/3,-972884112442292879947915264/27*theta_K - 5239730145815846255856566272/3,x^2 - x - 2398,2,2,0,9593,x^2 - 1076099*x + 99897344,2,True
2116,-201456564850507/3*theta_K + 9966445222572953/3,237520535264231660143534/27*theta_K - 11750599468941628218422122/27,x^2 - x - 2398,2,2,0,9593,x^2 - 1076099*x + 99897344,2,True
2117,16527984737417161887762574208091573120*theta_K - 2432142234300103663799374863270364264000/3,226816635076925309672093803355160138361901271397249176576*theta_K - 300390697195650970252942732248024639516400622803772430362624/27,x^2 - 2406,2,2,0,9624,8000,1,True
2118,2693439626880*theta_K - 396347671912000/3,-14921274381286913024*theta_K + 19761390133145350273024/27,x^2 - 2406,2,2,0,9624,8000,1,True
2119,27213913843982586627281800016218057530902614033280*theta_K - 4004608563723636797758392229018619241006780479963200/3,-1437648817689603875952690783372427178362954605574720604931573858162514924544/3*theta_K + 634662930141519377094619268862515586547590343341977447245336755125890569992192/27,x^2 - 2406,2,2,0,9624,8000,1,False
2120,4434844000305835759406720*theta_K - 652600517669754727102580800/3,94576627791889998338927145259753010176/3*theta_K - 41751698313756292717432675507470460413952/27,x^2 - 2406,2,2,0,9624,8000,1,False
2121,276711770505133218962476805896706033554505072640*theta_K - 13629283829766532568080840142080921900205118062592,556067193945963478338514763363341191507647920278181318182508723836026880*theta_K - 27388779032054087139068895241803314053473485269123816338953061544029585408,x^2 - 2426,2,2,0,9704,x^2 + 36131402112*x + 833131367796736,2,True
2122,1106847082020532875849907223586824134218020290560*theta_K - 54517135319066130272323360568323687600820472250368,4448537551567707826708118106906729532061183362225450545460069790688215040*theta_K - 219110232256432697112551161934426512427787882152990530711624492352236683264,x^2 - 2426,2,2,0,9704,x^2 + 36131402112*x + 833131367796736,2,False
2123,-1106847082020532875849907223586824134218020290560*theta_K - 54517135319066130272323360568323687600820472250368,-4448537551567707826708118106906729532061183362225450545460069790688215040*theta_K - 219110232256432697112551161934426512427787882152990530711624492352236683264,x^2 - 2426,2,2,0,9704,x^2 + 36131402112*x + 833131367796736,2,False
2124,-276711770505133218962476805896706033554505072640*theta_K - 13629283829766532568080840142080921900205118062592,-556067193945963478338514763363341191507647920278181318182508723836026880*theta_K - 27388779032054087139068895241803314053473485269123816338953061544029585408,x^2 - 2426,2,2,0,9704,x^2 + 36131402112*x + 833131367796736,2,True
2125,52039680*theta_K - 2589865472,-1435712122880*theta_K + 71451270427648,x^2 - x - 2427,2,2,0,9709,-884736,1,False
2126,-28224154521600*theta_K - 1376410984498688,573451710669507276800*theta_K + 27965593550057149654016,x^2 - x - 2427,2,2,0,9709,-884736,1,True
2127,28224154521600*theta_K - 1404635139020288,-573451710669507276800*theta_K + 28539045260726656930816,x^2 - x - 2427,2,2,0,9709,-884736,1,True
2128,-1278506528610561566085120*theta_K - 62349092809356703919171072,5528659788461434147753344857820753920*theta_K + 269616865106474187832581326005668021248,x^2 - x - 2427,2,2,0,9709,-884736,1,False
2129,6117832863942015269132109568*theta_K - 913587178010503912784882943328/3,5628122346675425480066896811059393631980480/3*theta_K - 2521373430697464051784149026933803179851765264/27,x^2 - x - 2428,2,2,0,9713,-32768,1,True
2130,-6117832863942015269132109568*theta_K - 895233679418677866977486614624/3,-5628122346675425480066896811059393631980480/3*theta_K - 2470720329577385222463546955634268637163940944/27,x^2 - x - 2428,2,2,0,9713,-32768,1,True
2131,-12401990077649023503177622273913806677191719699611648*theta_K + 448991541524416162411758159747623283599380759430823936,598978728456730936297456743216422948611144276318020059799496932257355433771008*theta_K + 189459966493674061141013937225754074911292920662917901866240789032642258134892544,x^2 - x + 2433,2,0,1,-9731,4096,1,False
2132,-16978324416301513175850164892988001341075464268768346112*theta_K + 614669420346925726341696920694496275247552259660797968384,30340069532518792116275076414141471616000291028336670089023918109631824786802868224*theta_K + 9596715682804072218975778962296121156481720310338780483230694686870428301306712031232,x^2 - x + 2433,2,0,1,-9731,4096,1,False
2133,-4835505140889334552112675346260685320252770446455698053412429649506726551204112223617155072*theta_K - 85826334906104500134053463835549857726784711416446726589969236553954546545579491210240720896,-30632432797623303590873762379200999916332971704973807332387262945548574442741044387580721040609503978827453962114341246197071348198539264*theta_K + 407286847479978743872411204706090728545275672308995822336794411451799499080695123635928878750713208439678559665054777204200725079862018048,x^2 - x + 2433,2,0,1,-9731,38477541376,1,False
2134,-3532144003571464245516928667831033835100635826483344085765105660706155260192923465023488*theta_K - 62692720895620526029257460800255557141552017104782123148260947081047879142132572103901184,-604750612947373375533014083651531003421968525160875117611735986921773131754112182646254339142982725185624819104778418774743279730688*theta_K + 8040725080054068739707642285868373611538816502655239025068493701297050502057037562156809641101478854947950953843894284725499478409216,x^2 - x + 2433,2,0,1,-9731,38477541376,1,False
2135,256/3*theta_K - 12800/3,97280/27*theta_K - 538624/3,x^2 - x - 2434,2,2,0,9737,-4096,1,False
2136,-74519973507959100481466857216/3*theta_K - 3639415344285306683609254511104/3,-481921203869965008462116656691716129369625600/27*theta_K - 23536125169361094684365531147023775392578328576/27,x^2 - x - 2434,2,2,0,9737,-4096,1,False
2137,-1092829175363584/3*theta_K - 53371721463053056/3,-855845592948931051704320/27*theta_K - 41797889031517472923706368/27,x^2 - x - 2434,2,2,0,9737,-4096,1,True
2138,1092829175363584/3*theta_K - 54464550638416640/3,855845592948931051704320/27*theta_K - 1579767949054311258348544,x^2 - x - 2434,2,2,0,9737,-4096,1,True
2139,862395546667692848740480/3*theta_K - 42721233568925741178356800/3,522838618040183794047829681358803968*theta_K - 699308329889149269717384978002061789184/27,x^2 - 2454,2,2,0,9816,8000,1,False
2140,3449582186670771394961920/3*theta_K - 170884934275702964713427200/3,-4182708944321470352382637450870431744*theta_K + 5594466639113194157739079824016494313472/27,x^2 - 2454,2,2,0,9816,8000,1,False
2141,4580480/3*theta_K - 226907200/3,19199753216/3*theta_K - 8560032925696/27,x^2 - 2454,2,2,0,9816,8000,1,False
2142,18321920/3*theta_K - 907628800/3,-153598025728/3*theta_K + 68480263405568/27,x^2 - 2454,2,2,0,9816,8000,1,False
2143,102656*theta_K - 15420160/3,-378023936/3*theta_K + 170351160320/27,x^2 - x - 2457,2,2,0,9829,x^2 - 2441216*x + 5754585088,2,True
2144,-102656*theta_K - 15112192/3,378023936/3*theta_K + 166948944896/27,x^2 - x - 2457,2,2,0,9829,x^2 - 2441216*x + 5754585088,2,True
2145,-352*theta_K - 74560/3,112448/3*theta_K + 42684208/27,x^2 - x - 2461,2,2,0,9845,-32768,1,False
2146,-96*theta_K - 14144/3,-99904/27*theta_K - 4906384/27,x^2 - x - 2461,2,2,0,9845,-32768,1,True
2147,60810080*theta_K - 9141759328/3,-5596236537920/3*theta_K + 2523896411811824/27,x^2 - x - 2461,2,2,0,9845,-32768,1,False
2148,96*theta_K - 14432/3,99904/27*theta_K - 5006288/27,x^2 - x - 2461,2,2,0,9845,-32768,1,True
2149,300225832831785369600*theta_K - 313534030113570108211200,6926987319697226341887535742976000*theta_K + 24598344920490168151196829745152000,x^2 + 2470,2,0,1,-9880,64,1,False
2150,2029526629942869098496*theta_K - 2119490043567733931507712,121748729130998450185015328218546176*theta_K + 432340510322535195425435479600791552,x^2 + 2470,2,0,1,-9880,64,1,False
2151,8118106519771476393984*theta_K - 8477960174270935726030848,973989833047987601480122625748369408*theta_K + 3458724082580281563403483836806332416,x^2 + 2470,2,0,1,-9880,64,1,False
2152,50738165748571727462400*theta_K - 52987251089193348287692800,15218591141374806273126916027318272000*theta_K + 54042563790316899428179434950098944000,x^2 + 2470,2,0,1,-9880,64,1,False
2153,202952662994286909849600*theta_K - 211949004356773393150771200,121748729130998450185015328218546176000*theta_K + 432340510322535195425435479600791552000,x^2 + 2470,2,0,1,-9880,64,1,False
2154,12009033313271414784*theta_K - 12541361204542804328448,55415898557577810735100285943808*theta_K + 196786759363921345209574637961216,x^2 + 2470,2,0,1,-9880,64,1,False
2155,75056458207946342400*theta_K - 78383507528392527052800,865873414962153292735941967872000*theta_K + 3074793115061271018899603718144000,x^2 + 2470,2,0,1,-9880,64,1,False
2156,3002258328317853696*theta_K - 3135340301135701082112,6926987319697226341887535742976*theta_K + 24598344920490168151196829745152,x^2 + 2470,2,0,1,-9880,64,1,False
2157,-160990963388398501037221857922430148341018920122144201337962725394520473600*theta_K + 168127256362087477989676184788780744547244324926423869929131747380036219699200,533442846941499412290889177864559505483583900238095358589263870100962979453232936264465336790396102887574863872000*theta_K + 1894302752240174632430442254937390051106524482670203100028187373402505821733672393168284508602945893957992710144000,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2158,-25758554142143760165955497267588823734563027219543072214074036063123275776*theta_K + 26900361017933996478348189566204919127559091988227819188661079580805795151872,34140342204255962386616907383331808350949369615238102949712887686461630685006907920925781554585350584804791287808*theta_K + 121235376143371176475548304315992963270817566890892998401803991897760372590955033162770208550588537213311533449216,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2159,-108829891250557386701161975955562780278528790002569480104462802366695840153600*theta_K + 113654025300771135121021100917215783313937163650262536072093061228904484516659200,9375791477843793670424668190147497868379470630584764022564901780894525326870022087784242759428001904352015807414272000*theta_K + 33294265173373309339597453072779567538248274307411489686095421274922442322791025982325768523205377032205679873490944000,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2160,-4353195650022295468046479038222511211141151600102779204178512094667833606144*theta_K + 4546161012030845404840844036688631332557486546010501442883722449156179380666368,75006331822750349363397345521179982947035765044678112180519214247156202614960176702273942075424015234816126459314176*theta_K + 266354121386986474716779624582236540305986194459291917488763370199379538582328207858606148185643016257645438987927552,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2161,-435319565002229546804647903822251121114115160010277920417851209466783360614400*theta_K + 454616101203084540484084403668863133255748654601050144288372244915617938066636800,75006331822750349363397345521179982947035765044678112180519214247156202614960176702273942075424015234816126459314176000*theta_K + 266354121386986474716779624582236540305986194459291917488763370199379538582328207858606148185643016257645438987927552000,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2162,-643963853553594004148887431689720593364075680488576805351850901578081894400*theta_K + 672509025448349911958704739155122978188977299705695479716526989520144878796800,4267542775531995298327113422916476043868671201904762868714110960807703835625863490115722694323168823100598910976000*theta_K + 15154422017921397059443538039499120408852195861361624800225498987220046573869379145346276068823567151663941681152000,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2163,-6439638535535940041488874316897205933640756804885768053518509015780818944*theta_K + 6725090254483499119587047391551229781889772997056954797165269895201448787968,4267542775531995298327113422916476043868671201904762868714110960807703835625863490115722694323168823100598910976*theta_K + 15154422017921397059443538039499120408852195861361624800225498987220046573869379145346276068823567151663941681152,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2164,-17412782600089181872185916152890044844564606400411116816714048378671334424576*theta_K + 18184644048123381619363376146754525330229946184042005771534889796624717522665472,600050654582002794907178764169439863576286120357424897444153713977249620919681413618191536603392121878529011674513408*theta_K + 2130832971095891797734236996657892322447889555674335339910106961595036308658625662868849185485144130061163511903420416,x^2 + 2470,2,0,1,-9880,-23788477376,1,False
2165,2142902718360367519008564901914054585213283984000335935222636820210403773490782355260720*theta_K - 107792524806267453494308244839856482540673088805357241345269043135510078169244356946288944,381057628573746963858968947802320479754046366669742569662505583882488226054968509009771925103966160059707004210837252237983601682560*theta_K - 19168002135011312175994475563236812705820590521387991059450236565094867950311248463770133057724945241807971612051718165183008845324416,x^2 - x - 2480,2,2,0,9921,x^2 + 495681193946*x + 89969592967129,2,True
2166,-2839116942331084198559488808349961614657184653384452376472693581106421667789238956348108994724650023006799938504172700384616288939600*theta_K - 139974451220146847497078861500075838851430336182073056925031161386808294204035069454310307102993666440905555422105040079421584725392816,59604063053657499943547702860180900278586099326541058462688650952227841428998215438443844986968924319718526634335499953923042881683046727556203210343082840650320759781030838972996418317092574509467264*theta_K + 2938605977102373499590552647191024671460467061218759291337627891318636286514230915278324321324229442541974763005783396176973316949038662235848015195079525182964854458369937615422939455115150009875718528,x^2 - x - 2480,2,2,0,9921,x^2 + 495681193946*x + 89969592967129,2,True
2167,-8571351311469330363795441323375614137773950886219222927426621836112860748834054215181232040320913801002917139130445694423849734153414740377171543608708989718234153253145147368740480*theta_K - 1267757074197432667139742230557118516194052546056037141388907203647945883777800060552695542831148362874045209000010504230711151575781901159465208759556849419230327811463461805550800528/3,289189270096246373957297995184844677417968267662738985515038885588403411437999842166458697339892185136777108052887273523108106425249877967460005470938571827280702259774851731474582690054086683679502213774055192646963131103632935007374398520758232402582224730566848361213440/3*theta_K + 128318766653257451293887086309361431318568237819289485780105222043105613809137147034905956186053285394592739838298505827470251599553435177697057474020727161214580573711558455776067872698367040548796166274367634498406877906561373326079224771663170790846655922669262995830041216/27,x^2 - x - 2480,2,2,0,9921,x^2 + 495681193946*x + 89969592967129,2,True
2168,-89021069701710904384703216198526739988713564413659633208006302718328598400*theta_K - 13166779282043030338350258963217585158873072820512677196781455592969496929552/3,-3226459289056548250183307172433219199576288837502217507642249243803709421093527504992438852289695709189171266048*theta_K - 4294923630716574016686937251292797859250399668317642824593193895103388852101329106572526176356901663901067147453312/27,x^2 - x - 2480,2,2,0,9921,x^2 + 495681193946*x + 89969592967129,2,True
2169,69117440*theta_K - 10338545920/3,-5866771111936/3*theta_K + 2632644490706944/27,x^2 - 2486,2,2,0,9944,8000,1,False
2170,17279360*theta_K - 2584636480/3,733346388992/3*theta_K - 329080561338368/27,x^2 - 2486,2,2,0,9944,8000,1,False
2171,-4433235840*theta_K - 663120802880/3,-27123232164109312/27*theta_K - 50087371281905664,x^2 - 2486,2,2,0,9944,8000,1,False
2172,-17732943360*theta_K - 2652483211520/3,216985857312874496/27*theta_K + 400698970255245312,x^2 - 2486,2,2,0,9944,8000,1,False
2173,652006276397531136*theta_K - 33034984670808244224,-1545301304863761911443881984*theta_K + 77879285951115016710496714752,x^2 - x - 2488,2,2,0,9953,4096,1,False
2174,-2546899517177856*theta_K - 126496009353166848,377270826382754372911104*theta_K + 18636226720276185253675008,x^2 - x - 2488,2,2,0,9953,4096,1,False
2175,-147182540170134453826591282033608779558457192239299378092007489536*theta_K - 7310066161783344540054033674335902718070040547885202445236371980288,-217976192823232024934260074230762198627873602016011851410709568526286385881745596646869551120646144*theta_K - 10767473827820158607083843856086767407930197898954982906120823765151793427514997785152461517344473088,x^2 - x - 2488,2,2,0,9953,38477541376,1,False
2176,37678730283554420179607368200603847566965041213260640791553917321216*theta_K - 1909055667700090622433439988830594943392895421471872466772065144274944,892830485803958374130729264049201965579770273857584543378266392683669036571629963865577681390166605824*theta_K - 44996403284555328028746153698580601268461860867977194526849160534745414915673060891850060056433128374272,x^2 - x - 2488,2,2,0,9953,38477541376,1,False
2177,4127018421032589135935599297729024944974015571955521907556002310531172173093280*theta_K - 208011652874503407607566842955256041242966636773207123884422109630904613748784715,-39641890286903372682315021690453198370939871814977279731252209820045688345221219919184050335113314551450864078708851424*theta_K + 1998046599361999320644673653176160184195681529500970242980934826379228323820889832379615534252011260347941219888811714246,x^2 - x - 2490,2,2,0,9961,-3375,1,True
2178,28007358695453326214571655328052915431929412486760947082699438495926898493878789138756548137248484507823531830740417058943842824592656775126411377790420892310043677805220633366654323896147634032206301471124995496711341957725563663037418720*theta_K - 1411638228993584087981648391515454949480739156784589567194393981718478824530011136237285677647919367176138097892625067859892200916797763165442758179312606282586458511448336946708192855491250621889256593194023127715736726091526195951278662635,22161950191298674025311077464379038762324903283848230757830035748165554380137282842552453270328768238701812349873547884739058775735229603431439695218490402548096367597622447522469761442706222131818423777102450362286341846621211030883433611617359034096358304113863104877941659124041849039078775182378431385947826991437520608139576567610405037008937868154034016*theta_K - 1117015583628297935876177169017259877969908727679884656202295345663829271700453164212454078541076092294588595482260602013653162114101812952801950445984611705214885819013306283202443241461748995219845110272633720580309143221329965187987851597930239255095714983860364582375489143055825025107128668666921023726822911999337045877229834195113304387445330759547605082,x^2 - x - 2490,2,2,0,9961,-3375,1,True
